k_neighbors,pca_components,scaler,distance_metrics
3,None,None,euclidean
4,None,None,euclidean
5,None,None,euclidean
6,None,None,euclidean
7,None,None,euclidean
8,None,None,euclidean
3,500,None,euclidean
4,500,None,euclidean
5,500,None,euclidean
6,500,None,euclidean
7,500,None,euclidean
8,500,None,euclidean
3,550,None,euclidean
4,550,None,euclidean
5,550,None,euclidean
6,550,None,euclidean
7,550,None,euclidean
8,550,None,euclidean
3,600,None,euclidean
4,600,None,euclidean
5,600,None,euclidean
6,600,None,euclidean
7,600,None,euclidean
8,600,None,euclidean
3,650,None,euclidean
4,650,None,euclidean
5,650,None,euclidean
6,650,None,euclidean
7,650,None,euclidean
8,650,None,euclidean
3,700,None,euclidean
4,700,None,euclidean
5,700,None,euclidean
6,700,None,euclidean
7,700,None,euclidean
8,700,None,euclidean
3,450,None,euclidean
4,450,None,euclidean
5,450,None,euclidean
6,450,None,euclidean
7,450,None,euclidean
8,450,None,euclidean
3,None,StandardScaler,euclidean
4,None,StandardScaler,euclidean
5,None,StandardScaler,euclidean
6,None,StandardScaler,euclidean
7,None,StandardScaler,euclidean
8,None,StandardScaler,euclidean
3,500,StandardScaler,euclidean
4,500,StandardScaler,euclidean
5,500,StandardScaler,euclidean
6,500,StandardScaler,euclidean
7,500,StandardScaler,euclidean
8,500,StandardScaler,euclidean
3,550,StandardScaler,euclidean
4,550,StandardScaler,euclidean
5,550,StandardScaler,euclidean
6,550,StandardScaler,euclidean
7,550,StandardScaler,euclidean
8,550,StandardScaler,euclidean
3,600,StandardScaler,euclidean
4,600,StandardScaler,euclidean
5,600,StandardScaler,euclidean
6,600,StandardScaler,euclidean
7,600,StandardScaler,euclidean
8,600,StandardScaler,euclidean
3,650,StandardScaler,euclidean
4,650,StandardScaler,euclidean
5,650,StandardScaler,euclidean
6,650,StandardScaler,euclidean
7,650,StandardScaler,euclidean
8,650,StandardScaler,euclidean
3,700,StandardScaler,euclidean
4,700,StandardScaler,euclidean
5,700,StandardScaler,euclidean
6,700,StandardScaler,euclidean
7,700,StandardScaler,euclidean
8,700,StandardScaler,euclidean
3,450,StandardScaler,euclidean
4,450,StandardScaler,euclidean
5,450,StandardScaler,euclidean
6,450,StandardScaler,euclidean
7,450,StandardScaler,euclidean
8,450,StandardScaler,euclidean
3,None,GrayScaler,euclidean
4,None,GrayScaler,euclidean
5,None,GrayScaler,euclidean
6,None,GrayScaler,euclidean
7,None,GrayScaler,euclidean
8,None,GrayScaler,euclidean
3,500,GrayScaler,euclidean
4,500,GrayScaler,euclidean
5,500,GrayScaler,euclidean
6,500,GrayScaler,euclidean
7,500,GrayScaler,euclidean
8,500,GrayScaler,euclidean
3,550,GrayScaler,euclidean
4,550,GrayScaler,euclidean
5,550,GrayScaler,euclidean
6,550,GrayScaler,euclidean
7,550,GrayScaler,euclidean
8,550,GrayScaler,euclidean
3,600,GrayScaler,euclidean
4,600,GrayScaler,euclidean
5,600,GrayScaler,euclidean
6,600,GrayScaler,euclidean
7,600,GrayScaler,euclidean
8,600,GrayScaler,euclidean
3,650,GrayScaler,euclidean
4,650,GrayScaler,euclidean
5,650,GrayScaler,euclidean
6,650,GrayScaler,euclidean
7,650,GrayScaler,euclidean
8,650,GrayScaler,euclidean
3,700,GrayScaler,euclidean
4,700,GrayScaler,euclidean
5,700,GrayScaler,euclidean
6,700,GrayScaler,euclidean
7,700,GrayScaler,euclidean
8,700,GrayScaler,euclidean
3,450,GrayScaler,euclidean
4,450,GrayScaler,euclidean
5,450,GrayScaler,euclidean
6,450,GrayScaler,euclidean
7,450,GrayScaler,euclidean
8,450,GrayScaler,euclidean
3,None,None,cosine
4,None,None,cosine
5,None,None,cosine
6,None,None,cosine
7,None,None,cosine
8,None,None,cosine
3,500,None,cosine
4,500,None,cosine
5,500,None,cosine
6,500,None,cosine
7,500,None,cosine
8,500,None,cosine
3,550,None,cosine
4,550,None,cosine
5,550,None,cosine
6,550,None,cosine
7,550,None,cosine
8,550,None,cosine
3,600,None,cosine
4,600,None,cosine
5,600,None,cosine
6,600,None,cosine
7,600,None,cosine
8,600,None,cosine
3,650,None,cosine
4,650,None,cosine
5,650,None,cosine
6,650,None,cosine
7,650,None,cosine
8,650,None,cosine
3,700,None,cosine
4,700,None,cosine
5,700,None,cosine
6,700,None,cosine
7,700,None,cosine
8,700,None,cosine
3,450,None,cosine
4,450,None,cosine
5,450,None,cosine
6,450,None,cosine
7,450,None,cosine
8,450,None,cosine
3,None,StandardScaler,cosine
4,None,StandardScaler,cosine
5,None,StandardScaler,cosine
6,None,StandardScaler,cosine
7,None,StandardScaler,cosine
8,None,StandardScaler,cosine
3,500,StandardScaler,cosine
4,500,StandardScaler,cosine
5,500,StandardScaler,cosine
6,500,StandardScaler,cosine
7,500,StandardScaler,cosine
8,500,StandardScaler,cosine
3,550,StandardScaler,cosine
4,550,StandardScaler,cosine
5,550,StandardScaler,cosine
6,550,StandardScaler,cosine
7,550,StandardScaler,cosine
8,550,StandardScaler,cosine
3,600,StandardScaler,cosine
4,600,StandardScaler,cosine
5,600,StandardScaler,cosine
6,600,StandardScaler,cosine
7,600,StandardScaler,cosine
8,600,StandardScaler,cosine
3,650,StandardScaler,cosine
4,650,StandardScaler,cosine
5,650,StandardScaler,cosine
6,650,StandardScaler,cosine
7,650,StandardScaler,cosine
8,650,StandardScaler,cosine
3,700,StandardScaler,cosine
4,700,StandardScaler,cosine
5,700,StandardScaler,cosine
6,700,StandardScaler,cosine
7,700,StandardScaler,cosine
8,700,StandardScaler,cosine
3,450,StandardScaler,cosine
4,450,StandardScaler,cosine
5,450,StandardScaler,cosine
6,450,StandardScaler,cosine
7,450,StandardScaler,cosine
8,450,StandardScaler,cosine
3,None,GrayScaler,cosine
4,None,GrayScaler,cosine
5,None,GrayScaler,cosine
6,None,GrayScaler,cosine
7,None,GrayScaler,cosine
8,None,GrayScaler,cosine
3,500,GrayScaler,cosine
4,500,GrayScaler,cosine
5,500,GrayScaler,cosine
6,500,GrayScaler,cosine
7,500,GrayScaler,cosine
8,500,GrayScaler,cosine
3,550,GrayScaler,cosine
4,550,GrayScaler,cosine
5,550,GrayScaler,cosine
6,550,GrayScaler,cosine
7,550,GrayScaler,cosine
8,550,GrayScaler,cosine
3,600,GrayScaler,cosine
4,600,GrayScaler,cosine
5,600,GrayScaler,cosine
6,600,GrayScaler,cosine
7,600,GrayScaler,cosine
8,600,GrayScaler,cosine
3,650,GrayScaler,cosine
4,650,GrayScaler,cosine
5,650,GrayScaler,cosine
6,650,GrayScaler,cosine
7,650,GrayScaler,cosine
8,650,GrayScaler,cosine
3,700,GrayScaler,cosine
4,700,GrayScaler,cosine
5,700,GrayScaler,cosine
6,700,GrayScaler,cosine
7,700,GrayScaler,cosine
8,700,GrayScaler,cosine
3,450,GrayScaler,cosine
4,450,GrayScaler,cosine
5,450,GrayScaler,cosine
6,450,GrayScaler,cosine
7,450,GrayScaler,cosine
8,450,GrayScaler,cosine
